"No.","Time","Source","Destination","Protocol","Length","Info"
"719","137.112912100","2404:6800:4002:820::2003","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","[TCP Retransmission] 80  >  51849 [FIN, ACK] Seq=1 Ack=1 Win=1052 Len=0"
"720","137.113236700","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","TLSv1.2","102","Application Data"
"721","137.219011300","2606:4700:8391:d8b7:9aa6:8cd:ccf5:ac50","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  49805 [ACK] Seq=169 Ack=197 Win=16 Len=0"
"722","138.165218700","172.20.10.6","57.144.41.32","TLSv1.2","123","Application Data"
"723","138.239984100","57.144.41.32","172.20.10.6","TCP","54","443  >  49330 [ACK] Seq=427 Ack=484 Win=292 Len=0"
"724","138.504928400","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"725","138.550478500","57.144.41.32","172.20.10.6","TLSv1.2","125","Application Data"
"726","138.603168200","172.20.10.6","57.144.41.32","TCP","54","49330  >  443 [ACK] Seq=484 Ack=498 Win=253 Len=0"
"727","138.612444900","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"728","138.614275800","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","92","Standard query 0x0002 A facebook.com"
"729","138.618758400","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","108","Standard query response 0x0002 A facebook.com A 163.70.146.35"
"730","138.623219000","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","92","Standard query 0x0003 AAAA facebook.com"
"731","138.755052000","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","120","Standard query response 0x0003 AAAA facebook.com AAAA 2a03:2880:f311:1:face:b00c:0:25de"
"734","140.701146000","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.2","723","Application Data"
"735","140.709135200","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:50::12","TLSv1.2","109","Application Data"
"736","140.709662100","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:50::12","TLSv1.2","109","Application Data"
"737","140.803003600","2404:6800:4002:820::2003","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","[TCP Retransmission] 80  >  51849 [FIN, ACK] Seq=1 Ack=1 Win=1052 Len=0"
"738","140.803003600","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  61498 [ACK] Seq=11745 Ack=1226 Win=16384 Len=0"
"739","140.803003600","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  61498 [ACK] Seq=11745 Ack=1261 Win=16383 Len=0"
"740","141.914318300","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","152","Standard query 0x0001 PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"741","142.134138000","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","152","Standard query response 0x0001 No such name PTR 4.6.c.6.9.0.e.f.f.f.8.c.d.7.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"742","142.135667900","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","91","Standard query 0x0002 A youtube.com"
"743","142.140224300","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","107","Standard query response 0x0002 A youtube.com A 142.250.67.206"
"744","142.144769900","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","91","Standard query 0x0003 AAAA youtube.com"
"745","142.150094200","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","119","Standard query response 0x0003 AAAA youtube.com AAAA 2404:6800:4009:813::200e"
"748","142.748886200","150.171.22.12","172.20.10.6","TLSv1.2","93","Application Data"
"749","142.759421300","172.20.10.6","150.171.22.12","TLSv1.2","89","Application Data"
"750","142.759658500","172.20.10.6","150.171.22.12","TLSv1.2","89","Application Data"
"751","142.850691600","150.171.22.12","172.20.10.6","TCP","54","443  >  64603 [ACK] Seq=6362 Ack=15838 Win=16386 Len=0"
"752","142.850691600","150.171.22.12","172.20.10.6","TCP","54","443  >  64603 [ACK] Seq=6362 Ack=15873 Win=16386 Len=0"
"753","143.384823400","57.144.41.32","172.20.10.6","TLSv1.2","101","Application Data"
"754","143.384823400","57.144.41.32","172.20.10.6","TLSv1.2","82","Application Data"
"755","143.384823400","57.144.41.32","172.20.10.6","TLSv1.2","78","Application Data"
"756","143.384823400","57.144.41.32","172.20.10.6","TCP","54","443  >  49330 [FIN, ACK] Seq=597 Ack=484 Win=292 Len=0"
"757","143.384968700","172.20.10.6","57.144.41.32","TCP","54","49330  >  443 [ACK] Seq=484 Ack=598 Win=253 Len=0"
"758","143.385488700","172.20.10.6","57.144.41.32","TCP","54","49330  >  443 [FIN, ACK] Seq=484 Ack=598 Win=253 Len=0"
"759","143.434924300","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","96","Standard query 0xc61b HTTPS web.whatsapp.com"
"760","143.435352900","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","96","Standard query 0xd78e AAAA web.whatsapp.com"
"761","143.435677000","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","96","Standard query 0xee5e A web.whatsapp.com"
"762","143.436396300","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","109","Standard query 0x5078 HTTPS _5222._https.web.whatsapp.com"
"763","143.436704200","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","96","Standard query 0xc6fc AAAA web.whatsapp.com"
"764","143.437000600","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","96","Standard query 0x2fc5 A web.whatsapp.com"
"765","143.449602800","57.144.41.32","172.20.10.6","TCP","54","443  >  49330 [ACK] Seq=598 Ack=485 Win=292 Len=0"
"766","143.449602800","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","166","Standard query response 0x5078 No such name HTTPS _5222._https.web.whatsapp.com SOA a.ns.whatsapp.net"
"767","143.449602800","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","178","Standard query response 0xc61b HTTPS web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net SOA a.ns.whatsapp.net"
"768","143.569370100","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","161","Standard query response 0xd78e AAAA web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net AAAA 2a03:2880:f349:120:face:b00c:0:167"
"769","143.569370100","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","161","Standard query response 0xc6fc AAAA web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net AAAA 2a03:2880:f349:120:face:b00c:0:167"
"770","143.569370100","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","149","Standard query response 0xee5e A web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net A 57.144.147.32"
"771","143.569370100","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","149","Standard query response 0x2fc5 A web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net A 57.144.147.32"
"772","143.571271900","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","86","51866  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1390 WS=256 SACK_PERM"
"773","143.571780000","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","86","50122  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1390 WS=256 SACK_PERM"
"774","143.613533200","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","QUIC","1292","Initial, DCID=d0be1d991433514e, PKN: 1, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, PING, PING"
"775","143.613698200","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","QUIC","1292","Initial, DCID=d0be1d991433514e, PKN: 2, CRYPTO, PING, CRYPTO, PING, PADDING, PING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PING, PING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, PADDING"
"776","143.623085500","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","86","443  >  51866 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1255 SACK_PERM WS=256"
"777","143.623289900","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","74","51866  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"778","143.624084000","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","1329","51866  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1255 [TCP PDU reassembled in 779]"
"779","143.624084000","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TLSv1.3","814","Client Hello (SNI=web.whatsapp.com)"
"780","143.633875000","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","86","5222  >  50122 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1255 SACK_PERM WS=256"
"781","143.634031400","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","74","50122  >  5222 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"782","143.634788300","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","1329","50122  >  5222 [ACK] Seq=1 Ack=1 Win=65280 Len=1255"
"783","143.634788300","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","782","50122  >  5222 [PSH, ACK] Seq=1256 Ack=1 Win=65280 Len=708"
"784","143.673101200","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","1294","Initial, SCID=9e006403148dedda, PKN: 4572962, CRYPTO, ACK, PADDING"
"785","143.673101200","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","1294","Handshake, SCID=9e006403148dedda"
"786","143.673101200","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","1294","Handshake, SCID=9e006403148dedda"
"787","143.673101200","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","763","Handshake, SCID=9e006403148dedda"
"788","143.673101200","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","142","Protected Payload (KP0)"
"789","143.673101200","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  51866 [ACK] Seq=1 Ack=1256 Win=68352 Len=0"
"790","143.673101200","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  51866 [ACK] Seq=1 Ack=1996 Win=70912 Len=0"
"791","143.673892100","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.3","1329","Server Hello, Change Cipher Spec"
"792","143.674296600","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","QUIC","104","Handshake, DCID=9e006403148dedda"
"793","143.675306700","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","QUIC","211","Protected Payload (KP0), DCID=9e006403148dedda"
"794","143.676052000","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","QUIC","871","Protected Payload (KP0), DCID=9e006403148dedda"
"795","143.686912400","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.3","836","Application Data"
"796","143.686912400","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","5222  >  50122 [ACK] Seq=1 Ack=1256 Win=68352 Len=0"
"797","143.687067100","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","74","51866  >  443 [ACK] Seq=1996 Ack=2018 Win=65280 Len=0"
"798","143.687612100","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TLSv1.3","138","Change Cipher Spec, Application Data"
"799","143.688109300","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TLSv1.3","695","Application Data"
"800","143.698284900","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","5222  >  50122 [ACK] Seq=1 Ack=1964 Win=70912 Len=0"
"801","143.699189400","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","1329","5222  >  50122 [ACK] Seq=1 Ack=1964 Win=70912 Len=1255 [TCP PDU reassembled in 1107]"
"802","143.699189400","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","836","5222  >  50122 [PSH, ACK] Seq=1256 Ack=1964 Win=70912 Len=762 [TCP PDU reassembled in 1107]"
"803","143.699189400","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","101","Handshake, SCID=9e006403148dedda"
"804","143.699312700","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","74","50122  >  5222 [ACK] Seq=1964 Ack=2018 Win=65280 Len=0"
"805","143.699631700","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","138","50122  >  5222 [PSH, ACK] Seq=1964 Ack=2018 Win=65280 Len=64"
"806","143.700029100","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","700","50122  >  5222 [PSH, ACK] Seq=2028 Ack=2018 Win=65280 Len=626"
"807","143.704716600","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","174","Protected Payload (KP0)"
"808","143.704716600","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","334","Protected Payload (KP0)"
"809","143.705168900","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","QUIC","97","Protected Payload (KP0), DCID=9e006403148dedda"
"810","143.705375900","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","110","Protected Payload (KP0)"
"811","143.707150300","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","302","Protected Payload (KP0)"
"812","143.707150300","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","110","Protected Payload (KP0)"
"813","143.707745200","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","QUIC","100","Protected Payload (KP0), DCID=9e006403148dedda"
"814","143.723360800","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.3","259","Application Data"
"815","143.727710900","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","5222  >  50122 [ACK] Seq=2018 Ack=2654 Win=73472 Len=0"
"816","143.741410400","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","QUIC","97","Protected Payload (KP0), DCID=9e006403148dedda"
"817","143.752015800","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","259","5222  >  50122 [PSH, ACK] Seq=2018 Ack=2654 Win=73472 Len=185 [TCP PDU reassembled in 1107]"
"818","143.752015800","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","QUIC","110","Protected Payload (KP0)"
"819","143.771553900","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","74","51866  >  443 [ACK] Seq=2681 Ack=2203 Win=65280 Len=0"
"820","143.781597700","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  51866 [ACK] Seq=2203 Ack=2681 Win=73472 Len=0"
"821","143.802412000","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","74","50122  >  5222 [ACK] Seq=2654 Ack=2203 Win=65280 Len=0"
"822","143.976962100","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.3","262","Application Data"
"823","143.976962100","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","262","5222  >  50122 [PSH, ACK] Seq=2203 Ack=2654 Win=73472 Len=188 [TCP PDU reassembled in 1107]"
"824","143.979100700","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","145","50122  >  5222 [PSH, ACK] Seq=2654 Ack=2391 Win=65024 Len=71"
"825","143.979350600","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TLSv1.3","116","Application Data"
"826","144.105462600","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  51866 [ACK] Seq=2391 Ack=2723 Win=73472 Len=0"
"827","144.105462600","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","5222  >  50122 [ACK] Seq=2391 Ack=2725 Win=73472 Len=0"
"828","144.284481500","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.3","102","Application Data"
"829","144.284481500","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.3","98","Application Data"
"830","144.284481500","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  51866 [FIN, ACK] Seq=2443 Ack=2723 Win=73472 Len=0"
"831","144.284481500","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","450","5222  >  50122 [PSH, ACK] Seq=2391 Ack=2725 Win=73472 Len=376 [TCP PDU reassembled in 1107]"
"832","144.284639000","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","74","51866  >  443 [ACK] Seq=2723 Ack=2444 Win=65024 Len=0"
"833","144.285236100","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","74","51866  >  443 [FIN, ACK] Seq=2723 Ack=2444 Win=65024 Len=0"
"834","144.297654000","2a03:2880:f349:120:face:b00c:0:167","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","[TCP Retransmission] 443  >  51866 [FIN, ACK] Seq=2443 Ack=2723 Win=73472 Len=0"
"835","144.297679400","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:2880:f349:120:face:b00c:0:167","TCP","74","[TCP Dup ACK 832#1] 51866  >  443 [ACK] Seq=2724 Ack=2444 Win=65024 Len=0"
